time,WMA_daily_5_close,Company
2023-04-06,100.039,ABT
2023-04-05,99.0279,ABT
2023-04-04,97.8887,ABT
2023-04-03,96.837,ABT
2023-03-31,95.9733,ABT
2023-03-30,95.0092,ABT
2023-03-29,94.6153,ABT
2023-03-28,94.2561,ABT
2023-03-27,94.4614,ABT
2023-03-24,94.1943,ABT
2023-03-23,93.9922,ABT
2023-03-22,94.2433,ABT
2023-03-21,94.6127,ABT
2023-03-20,94.5232,ABT
2023-03-17,94.6024,ABT
2023-03-16,94.9551,ABT
2023-03-15,94.5818,ABT
2023-03-14,94.7073,ABT
2023-03-13,94.6835,ABT
2023-03-10,95.069,ABT
2023-03-09,96.3324,ABT
2023-03-08,97.6171,ABT
2023-03-07,98.495,ABT
2023-03-06,99.2982,ABT
2023-03-03,99.0182,ABT
2023-03-02,97.9344,ABT
2023-03-01,97.4311,ABT
2023-02-28,97.6267,ABT
2023-02-27,97.6602,ABT
2023-02-24,98.7698,ABT
2023-02-23,100.0191,ABT
2023-02-22,100.9002,ABT
2023-02-21,102.0303,ABT
2023-02-17,103.165,ABT
2023-02-16,103.3967,ABT
2023-02-15,103.9689,ABT
2023-02-14,104.3429,ABT
2023-02-13,105.0277,ABT
2023-02-10,105.4505,ABT
2023-02-09,106.2229,ABT
2023-02-08,107.2932,ABT
2023-02-07,107.7823,ABT
2023-02-06,107.6028,ABT
2023-02-03,107.7617,ABT
2023-02-02,107.4676,ABT
2023-02-01,106.9495,ABT
2023-01-31,106.517,ABT
2023-01-30,106.6206,ABT
